,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
365,Airai,TL,-8.93,125.41,57.24,90,83,3.0,broken clouds
366,Henties Bay,NA,-22.12,14.28,59.86,83,23,7.61,few clouds
367,Batagay-Alyta,RU,67.8,130.41,44.1,61,4,6.26,clear sky
368,Abu Dhabi,AE,24.47,54.37,91.42,66,0,6.91,clear sky
369,Kulu,TR,39.1,33.08,67.93,51,64,5.84,broken clouds
370,Laguna,US,38.42,-121.42,84.99,48,1,1.01,clear sky
371,Izhevskoye,RU,54.56,40.87,62.51,90,100,2.89,overcast clouds
372,Salinas,US,36.68,-121.66,81.0,52,1,10.36,clear sky
373,Vestmannaeyjar,IS,63.44,-20.27,46.26,74,100,27.22,overcast clouds
374,Iskateley,RU,67.68,53.15,71.74,33,67,5.86,broken clouds
375,Merauke,ID,-8.47,140.33,76.96,93,20,10.45,few clouds
376,La Ronge,CA,55.1,-105.28,66.42,63,75,9.22,broken clouds
377,Westport,US,41.14,-73.36,70.36,73,90,8.05,overcast clouds
378,San Quintin,MX,30.48,-115.95,69.69,63,64,13.47,broken clouds
379,Pisco,PE,-13.7,-76.22,68.05,68,90,9.22,overcast clouds
380,Ankang,CN,32.68,109.02,74.26,86,99,1.9,overcast clouds
381,Kirakira,SB,-10.45,161.92,78.78,87,59,10.63,broken clouds
382,West Bay,KY,19.37,-81.42,87.87,70,20,8.05,few clouds
383,Iqaluit,CA,63.75,-68.51,44.33,70,20,5.01,few clouds
384,Chokurdakh,RU,70.63,147.92,54.3,80,100,9.35,overcast clouds
385,Bathsheba,BB,13.22,-59.52,86.61,66,20,17.27,few clouds
386,Pimenta Bueno,BR,-11.67,-61.19,88.16,45,73,2.51,broken clouds
387,Ostrovnoy,RU,68.05,39.51,68.34,40,1,16.44,clear sky
388,Toora-Khem,RU,52.47,96.11,49.01,86,100,2.1,overcast clouds
389,Chimbote,PE,-9.09,-78.58,71.08,71,54,11.01,broken clouds
390,Rocha,UY,-34.48,-54.33,65.37,64,3,9.62,clear sky
391,Owerri,NG,5.48,7.03,80.19,92,99,6.38,overcast clouds
392,Churapcha,RU,62.0,132.43,49.62,74,100,9.24,overcast clouds
393,Mangai,CD,-4.05,19.53,79.99,42,24,2.39,few clouds
394,Balao,EC,-2.92,-79.82,80.51,69,67,3.13,broken clouds
395,Montepuez,MZ,-13.13,39.0,64.63,51,6,4.85,clear sky
396,Necochea,AR,-38.55,-58.74,74.03,46,31,13.44,scattered clouds
397,Novo Aripuana,BR,-5.12,-60.38,94.57,38,72,2.06,broken clouds
398,Kampong Cham,KH,11.99,105.46,74.8,88,100,6.69,overcast clouds
399,Tvoroyri,FO,61.56,-6.81,47.59,74,50,13.2,scattered clouds
400,Ibaiti,BR,-23.85,-50.19,68.49,33,2,1.81,clear sky
401,Cabra,ES,37.47,-4.44,90.84,32,2,11.86,clear sky
402,Sechura,PE,-5.56,-80.82,77.54,59,24,10.69,few clouds
403,Jalu,LY,29.03,21.55,84.63,28,0,11.12,clear sky
404,Xichang,CN,27.9,102.26,67.15,91,68,2.8,broken clouds
405,Richards Bay,ZA,-28.78,32.04,66.36,82,1,9.86,clear sky
406,Gaomi,CN,36.38,119.75,65.98,82,12,7.76,few clouds
407,Kyabe,TD,9.45,18.94,78.57,69,96,1.23,light rain
408,Alugan,PH,12.22,125.48,79.75,85,100,8.55,overcast clouds
409,Panzhihua,CN,26.59,101.71,73.54,80,87,1.88,overcast clouds
410,Ilebo,CD,-4.32,20.58,79.86,44,17,1.01,few clouds
411,Lasa,IT,46.62,10.7,75.11,71,96,6.15,overcast clouds
412,Singleton,AU,-32.57,151.18,48.0,72,0,10.0,clear sky
413,Kambove,CD,-10.88,26.6,59.16,53,2,4.21,clear sky
414,San Juan Bautista,PE,-14.01,-75.74,63.23,41,5,7.02,clear sky
415,Kamenka,RU,51.32,42.77,62.35,89,53,7.56,broken clouds
416,Paita,PE,-5.09,-81.11,79.36,69,6,13.6,clear sky
417,Itarema,BR,-2.92,-39.92,84.2,67,57,11.14,broken clouds
418,Cayenne,GF,4.93,-52.33,87.84,66,0,4.61,clear sky
419,Buraydah,SA,26.33,43.98,93.65,11,0,12.93,clear sky
420,Nanortalik,GL,60.14,-45.24,38.95,81,82,8.39,broken clouds
421,Pitkyaranta,RU,61.57,31.48,56.57,83,94,9.15,overcast clouds
422,Salina Cruz,MX,16.17,-95.2,83.08,72,100,7.31,overcast clouds
423,Dulce Nombre De Culmi,HN,15.1,-85.53,91.63,61,97,2.48,overcast clouds
424,Buchanan,LR,5.88,-10.05,77.0,94,75,5.01,moderate rain
425,Isangel,VU,-19.55,169.27,72.39,80,90,9.46,light rain
426,Constitucion,CL,-35.33,-72.42,62.85,74,3,9.22,clear sky
427,Adrar,MR,20.5,-10.07,109.72,7,50,9.84,scattered clouds
428,Miranda,CO,3.25,-76.23,84.33,66,81,3.98,broken clouds
429,Riyadh,SA,24.69,46.72,100.45,8,0,17.27,dust
430,Lockhart,US,28.62,-81.44,96.15,52,20,7.0,few clouds
431,Cheremukhovo,RU,60.35,59.99,58.24,58,13,4.68,few clouds
432,Nanpiao,CN,41.1,120.75,66.7,77,15,5.95,few clouds
433,Tiarei,PF,-17.53,-149.33,75.22,74,25,8.99,scattered clouds
434,Raudeberg,NO,61.99,5.14,50.67,86,89,16.08,overcast clouds
435,Road Town,VG,18.42,-64.62,86.04,66,40,9.22,scattered clouds
436,Shimoda,JP,34.67,138.95,72.16,89,100,5.75,overcast clouds
437,Maralal,KE,1.1,36.7,60.93,66,98,6.17,overcast clouds
438,Abu Samrah,SY,35.3,37.18,72.75,39,0,13.78,clear sky
439,Hornepayne,CA,49.21,-84.77,57.45,96,100,7.49,overcast clouds
440,Yining,CN,29.04,114.56,75.49,96,82,1.39,broken clouds
441,Kendari,ID,-3.94,122.5,73.42,95,59,1.25,broken clouds
442,Mackenzie,CA,55.3,-123.17,59.22,51,75,12.66,broken clouds
443,Broken Hill,AU,-31.95,141.43,50.58,61,97,5.53,light rain
444,Ippy,CF,6.27,21.22,72.55,90,100,4.59,overcast clouds
445,Birjand,IR,32.87,59.22,84.67,10,0,9.22,clear sky
446,Peoria,US,40.77,-89.77,93.61,53,20,4.61,few clouds
447,Marevo,RU,57.31,32.08,63.03,74,42,3.89,scattered clouds
448,Soure,BR,-0.72,-48.52,74.68,93,100,6.11,moderate rain
449,Beni,CD,0.5,29.47,65.7,91,70,2.08,light rain
450,Calbuco,CL,-41.77,-73.13,49.21,94,100,9.89,moderate rain
451,Mashhad,IR,36.3,59.61,82.54,36,0,0.0,clear sky
452,Callaguip,PH,18.07,120.49,80.62,94,75,4.61,broken clouds
453,Bose,IT,45.46,8.01,82.0,68,84,3.0,broken clouds
454,Parrita,CR,9.52,-84.32,94.77,72,90,4.47,overcast clouds
455,Shelburne,CA,44.08,-80.2,76.91,60,87,4.34,overcast clouds
456,Vagur,FO,61.47,-6.81,43.97,74,59,12.1,broken clouds
457,Santiago,CL,-33.46,-70.65,76.44,19,0,0.0,clear sky
458,Tremedal,BR,-14.98,-41.41,82.63,40,98,1.99,overcast clouds
459,Bonito,BR,-21.12,-56.48,75.43,39,0,3.8,clear sky
460,Harper,LR,4.38,-7.72,79.65,83,91,5.57,moderate rain
461,Acapulco,MX,16.86,-99.89,82.22,78,90,2.3,overcast clouds
462,Chongwe,ZM,-15.33,28.68,55.22,57,1,3.38,clear sky
463,Nyurba,RU,63.28,118.33,43.29,64,13,5.99,few clouds
464,Svetlyy,RU,54.67,20.13,60.85,77,95,17.85,overcast clouds
465,Las Rosas,AR,-32.48,-61.58,71.19,49,0,14.05,clear sky
466,Mecca,SA,21.43,39.83,95.32,36,47,0.74,scattered clouds
467,Barbastro,ES,42.04,0.13,88.63,28,1,6.49,clear sky
468,Puerto Madryn,AR,-42.77,-65.04,63.64,40,100,19.3,overcast clouds
469,Middelkerke,BE,51.16,2.84,70.32,71,0,9.22,clear sky
470,Jaguaribe,BR,-5.89,-38.62,92.75,33,17,2.3,few clouds
471,Sao Filipe,CV,14.9,-24.5,77.27,76,89,6.53,overcast clouds
472,Broome,US,42.25,-75.83,78.06,67,75,1.01,broken clouds
473,Polewali,ID,-3.43,119.34,76.51,90,93,2.68,overcast clouds
474,Annau,TM,37.89,58.52,87.3,33,0,6.91,clear sky
475,Presidente Medici,BR,-11.18,-61.9,84.99,52,66,4.45,broken clouds
476,Baikunthpur,IN,23.25,82.55,80.67,73,72,6.62,broken clouds
477,Coahuayana,MX,18.73,-103.68,89.08,51,65,7.87,broken clouds
478,Kununurra,AU,-15.77,128.73,53.6,82,100,4.61,overcast clouds
479,Tuatapere,NZ,-46.13,167.68,52.83,95,100,2.55,light rain
480,Nisia Floresta,BR,-6.09,-35.21,85.01,63,66,12.33,broken clouds
481,Yagodnoye,RU,62.55,149.67,52.29,50,2,1.95,clear sky
482,Koslan,RU,63.46,48.9,65.08,43,56,5.19,broken clouds
483,Thinadhoo,MV,0.53,72.93,83.34,73,7,8.08,clear sky
484,Chapais,CA,49.78,-74.85,67.78,19,2,8.43,clear sky
485,Sarangani,PH,5.4,125.46,82.15,73,100,4.14,overcast clouds
486,Rio Claro,BR,-22.41,-47.56,78.78,44,8,5.99,clear sky
487,Axim,GH,4.87,-2.24,80.76,80,86,5.99,light rain
488,Eldorado,BR,-23.79,-54.28,72.09,39,0,5.19,clear sky
489,Senta,RS,45.93,20.08,71.56,62,77,6.64,broken clouds
490,Krasnoselkup,RU,65.7,82.47,42.51,89,95,10.63,overcast clouds
491,Lander,US,42.83,-108.73,82.11,19,1,8.05,clear sky
492,Nang Rong,TH,14.64,102.79,75.87,84,100,6.8,light rain
493,Midland,US,32.0,-102.08,97.05,29,1,11.5,clear sky
494,Ghansor,IN,22.65,79.95,77.77,80,100,2.35,overcast clouds
495,Avera,US,33.19,-82.53,90.72,48,52,4.54,broken clouds
496,Paamiut,GL,61.99,-49.67,37.99,89,65,16.53,broken clouds
497,Nemuro,JP,43.32,145.57,52.32,99,70,18.48,broken clouds
498,Mandurah,AU,-32.55,115.7,54.16,85,7,4.97,light rain
499,Deulgaon Raja,IN,20.02,76.03,80.74,72,43,10.87,scattered clouds
500,San Felipe,VE,10.34,-68.74,90.7,40,61,7.16,broken clouds
501,Yakymivka,UA,46.69,35.15,67.66,69,63,0.36,broken clouds
502,Luanda,AO,-8.84,13.23,75.33,86,21,12.86,few clouds
503,Tiksi,RU,71.69,128.87,43.16,78,67,9.69,broken clouds
504,Comodoro Rivadavia,AR,-45.87,-67.5,53.46,40,0,16.11,clear sky
505,Hoquiam,US,46.98,-123.89,68.41,64,1,11.5,clear sky
506,Port Hardy,CA,50.7,-127.42,59.18,72,90,17.27,overcast clouds
507,Bud,US,39.45,-86.18,93.04,54,28,1.57,scattered clouds
508,Isiro,CD,2.77,27.62,70.9,83,75,2.1,broken clouds
509,Labuhan,ID,-6.88,112.21,78.37,83,11,6.91,few clouds
510,Muroto,JP,33.28,134.15,72.84,87,100,5.37,overcast clouds
511,Cabo Rojo,PR,18.09,-67.15,88.27,70,28,5.99,scattered clouds
512,Ajdabiya,LY,30.76,20.23,72.36,73,0,16.35,clear sky
513,Oslavany,CZ,49.12,16.34,72.25,77,40,10.0,heavy intensity rain
514,Garowe,SO,8.41,48.48,86.05,35,100,16.75,overcast clouds
515,Aitape,PG,-3.14,142.35,77.85,86,9,5.08,clear sky
516,Namibe,AO,-15.2,12.15,72.05,70,8,3.06,clear sky
517,Suntar,RU,62.14,117.63,43.11,55,5,4.97,clear sky
518,Lincoln,US,40.8,-96.67,83.8,37,1,1.01,clear sky
519,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.99,100,90,4.47,"light rain, mist"
520,Nawa,IN,27.02,75.0,97.59,31,0,14.97,clear sky
521,Kupang,ID,-10.17,123.58,76.21,83,53,11.36,broken clouds
522,Tukan,RU,53.84,57.46,63.86,49,98,12.26,overcast clouds
523,Rio Gallegos,AR,-51.62,-69.22,44.6,61,20,28.77,few clouds
524,Mudgee,AU,-32.59,149.59,46.45,87,90,0.0,overcast clouds
525,Alcudia,ES,39.85,3.12,82.0,47,4,3.0,clear sky
526,Da Nang,VN,16.07,108.22,80.58,83,75,3.44,broken clouds
527,Alamosa,US,37.47,-105.87,75.2,22,1,6.91,clear sky
528,Talaya,RU,61.38,152.75,49.78,49,0,3.96,clear sky
529,Eydhafushi,MV,5.1,73.07,83.05,75,100,15.82,overcast clouds
530,Marabba,SD,12.35,32.18,96.82,31,99,13.8,overcast clouds
531,Crossville,US,35.95,-85.03,84.4,63,75,5.01,broken clouds
532,Tazovskiy,RU,67.47,78.7,38.12,87,99,7.81,overcast clouds
533,Bukachacha,RU,52.98,116.92,53.47,96,21,4.34,few clouds
534,San Cristobal,VE,7.77,-72.22,80.78,50,55,7.9,broken clouds
535,Dattapur,IN,20.77,78.17,79.56,76,88,12.15,overcast clouds
536,Lavrentiya,RU,65.58,-171.0,36.43,98,100,7.99,light rain
537,Santa,PH,17.49,120.43,78.75,87,100,3.15,overcast clouds
538,Marsa Matruh,EG,31.35,27.25,73.56,72,0,9.44,clear sky
539,Tahta,EG,26.77,31.5,106.12,9,0,5.12,clear sky
540,Port Augusta,AU,-32.5,137.77,53.74,53,84,5.3,light rain
541,Nipawin,CA,53.37,-104.0,71.64,46,1,17.27,clear sky
542,Chara,RU,56.91,118.26,42.89,88,100,1.99,overcast clouds
543,Teguldet,RU,57.31,88.17,46.35,81,12,2.82,few clouds
544,Jinchang,CN,38.5,102.17,68.13,49,95,4.47,overcast clouds
545,Dingle,PH,11.0,122.67,76.39,91,100,1.86,moderate rain
546,Roebourne,AU,-20.78,117.13,74.43,49,97,8.05,overcast clouds
547,Simbahan,PH,6.3,120.58,83.34,75,96,11.3,overcast clouds
548,Dukat,RU,62.55,155.55,40.84,68,0,3.02,clear sky
549,Oschatz,DE,51.3,13.12,66.99,57,80,8.01,broken clouds
550,Pershotravneve,UA,51.39,28.87,61.97,82,56,6.02,broken clouds
551,Kemijarvi,FI,66.71,27.43,65.79,53,97,9.44,overcast clouds
552,Dicabisagan,PH,17.08,122.42,79.54,88,100,6.93,overcast clouds
553,Lukovetskiy,RU,64.3,41.92,67.98,42,56,4.56,broken clouds
554,Anloga,GH,5.79,0.9,84.2,79,40,5.75,scattered clouds
555,Terra Santa,BR,-2.1,-56.49,86.5,58,94,4.85,overcast clouds
556,Mbini,GQ,1.57,9.61,80.6,94,40,4.61,scattered clouds
557,Tefe,BR,-3.35,-64.71,87.91,74,75,6.91,broken clouds
558,Kyrylivka,UA,46.38,35.37,72.0,69,87,5.23,overcast clouds
559,Nyrob,RU,60.73,56.72,59.09,64,32,3.27,scattered clouds
560,Skibbereen,IE,51.55,-9.27,67.8,77,8,9.46,clear sky
561,Malartic,CA,48.13,-78.13,71.42,28,100,4.59,overcast clouds
562,Nizhnyaya Tavda,RU,57.67,66.17,58.78,66,49,4.61,scattered clouds
563,Martapura,ID,-3.42,114.85,73.49,100,90,3.44,overcast clouds
564,Wamba,NG,8.93,8.6,75.56,83,88,4.61,overcast clouds
565,Sayyan,YE,15.17,44.32,71.1,18,94,5.79,overcast clouds
566,Kashan,IR,33.98,51.44,95.99,11,0,1.34,clear sky
567,Kudymkar,RU,59.02,54.66,56.53,85,100,5.99,overcast clouds
568,Ames,US,42.03,-93.62,85.05,27,1,16.11,clear sky
569,Nome,US,64.5,-165.41,46.47,87,90,9.22,"mist, light rain"
570,Hobyo,SO,5.35,48.53,78.35,81,100,26.98,overcast clouds
571,Matara,LK,5.95,80.54,79.38,88,59,12.24,broken clouds
572,Beaver Dam,US,43.46,-88.84,82.99,61,40,3.44,scattered clouds
573,Mahibadhoo,MV,3.78,72.97,83.37,73,97,13.65,overcast clouds
574,Ekuvukeni,ZA,-28.47,30.16,56.97,39,16,3.49,few clouds
575,Ternate,ID,0.8,127.4,80.04,82,100,5.17,overcast clouds
576,Bandarbeyla,SO,9.49,50.81,79.7,75,72,32.55,broken clouds
577,Wanning,CN,18.8,110.4,80.64,90,100,13.58,overcast clouds
578,Husavik,IS,66.04,-17.34,46.31,62,38,6.11,scattered clouds
579,Moree,AU,-29.47,149.85,50.0,87,90,2.3,overcast clouds
580,Veinticinco De Mayo,AR,-35.43,-60.17,74.05,47,1,8.01,clear sky
581,Troitsko-Pechorsk,RU,62.71,56.2,63.21,46,32,4.43,scattered clouds
582,Asau,RO,46.43,26.4,65.32,95,65,4.7,broken clouds
583,Grindavik,IS,63.84,-22.43,51.75,66,75,13.8,broken clouds
584,Hastings,GB,50.86,0.57,75.33,81,37,6.96,scattered clouds
585,Ucluelet,CA,48.93,-125.55,61.09,88,100,1.01,overcast clouds
586,Bar-Le-Duc,FR,48.75,5.17,71.6,64,0,10.36,clear sky
587,Nabire,ID,-3.37,135.48,75.0,91,95,3.09,overcast clouds
588,Faya,SA,18.39,42.45,79.32,20,73,6.17,broken clouds
589,Nacala,MZ,-14.54,40.67,71.55,70,6,10.11,clear sky
590,Ketchikan,US,55.34,-131.65,55.38,66,99,2.77,overcast clouds
591,Tuy Hoa,VN,13.08,109.3,80.98,64,100,8.32,overcast clouds
592,Clovis,US,36.83,-119.7,89.37,38,1,5.75,clear sky
593,Half Moon Bay,US,37.46,-122.43,80.15,71,20,4.61,few clouds
594,Shingu,JP,33.73,135.98,72.91,90,100,3.15,moderate rain
595,Camana,PE,-16.62,-72.71,67.3,69,6,8.37,clear sky
596,Oron,NG,4.83,8.23,76.48,90,99,6.26,overcast clouds
597,Cabo San Lucas,MX,22.89,-109.91,97.52,57,1,11.5,clear sky
598,Digri,PK,25.16,69.11,87.21,62,0,21.7,clear sky
599,Dawlatabad,AF,36.41,64.91,85.23,15,0,5.75,clear sky
600,Banjar,ID,-8.19,114.97,76.86,84,5,3.69,clear sky
601,Lorengau,PG,-2.02,147.27,82.06,77,32,9.4,scattered clouds
602,Popondetta,PG,-8.75,148.25,72.54,90,13,3.06,few clouds
603,Myre,NO,69.1,15.95,53.01,81,67,6.91,broken clouds
604,Bhatkal,IN,13.97,74.57,77.99,88,100,7.23,overcast clouds
605,Gimli,CA,50.63,-96.99,75.06,40,34,14.97,scattered clouds
606,Northam,GB,51.03,-4.22,69.13,76,26,7.09,scattered clouds
607,Oil City,US,41.43,-79.71,83.26,64,75,3.0,broken clouds
608,Burnie,AU,-41.07,145.92,54.91,84,13,7.31,few clouds
609,Charters Towers,AU,-20.1,146.27,64.02,90,66,6.38,broken clouds
610,Mayumba,GA,-3.43,10.66,77.49,89,50,5.01,scattered clouds
611,Ghanzi,BW,-21.57,21.78,59.79,30,26,7.02,scattered clouds
612,Codrington,AU,-38.27,141.97,52.2,85,100,3.71,overcast clouds
613,Porto Belo,BR,-27.16,-48.55,70.79,68,7,6.53,clear sky
614,Sorland,NO,67.67,12.69,50.67,81,100,13.65,overcast clouds
615,Jacmel,HT,18.23,-72.53,93.04,66,13,9.33,few clouds
616,Ruidoso,US,33.33,-105.67,90.45,36,0,1.01,clear sky
617,Statesville,US,35.78,-80.89,83.68,85,95,6.67,overcast clouds
618,Baykalovo,RU,57.4,63.77,58.28,62,8,5.66,clear sky
619,Tezu,IN,27.92,96.17,78.78,83,64,3.76,broken clouds
620,Kropotkin,RU,45.44,40.58,65.66,79,59,2.39,light rain
621,Grand Forks,US,47.94,-97.43,79.0,25,20,23.02,few clouds
622,Harrisburg,US,40.27,-76.88,77.0,60,75,4.61,broken clouds
623,Maldonado,UY,-34.67,-54.92,69.19,65,3,11.27,clear sky
624,Lumeje,AO,-11.55,20.78,62.53,34,2,6.11,clear sky
625,Kayerkan,RU,69.35,87.76,32.92,98,100,5.32,overcast clouds
626,Yuzhno-Kurilsk,RU,44.03,145.86,51.71,99,59,10.33,broken clouds
627,Cachoeira Do Sul,BR,-30.04,-52.89,63.37,54,41,7.09,scattered clouds
628,Saint Anthony,US,45.02,-93.22,84.34,29,1,3.0,clear sky
629,Korla,CN,41.76,86.15,68.49,53,10,20.24,clear sky
630,Simao,CN,22.79,100.97,65.46,97,25,0.65,scattered clouds
631,Kaputa,ZM,-8.47,29.66,70.03,61,0,3.91,clear sky
632,Birobidzhan,RU,48.8,132.95,56.08,98,29,3.91,scattered clouds
633,Visby,SE,57.64,18.3,60.85,70,45,8.52,scattered clouds
634,San Miguel,SV,13.48,-88.18,84.25,80,93,1.72,overcast clouds
635,Bagamoyo,TZ,-6.43,38.9,78.8,73,75,13.8,broken clouds
636,Fengzhen,CN,40.44,113.15,64.06,81,97,1.03,overcast clouds
637,Paragominas,BR,-2.97,-47.48,80.04,91,84,1.83,broken clouds
638,Upernavik,GL,72.79,-56.15,35.96,91,100,5.59,overcast clouds
639,Griffith,US,41.53,-87.42,93.94,55,90,3.0,overcast clouds
640,Ban Dung,TH,17.7,103.26,75.99,99,100,10.69,moderate rain
641,Caravelas,BR,-17.71,-39.25,77.76,72,100,11.05,overcast clouds
642,Asekeyevo,RU,53.57,52.8,62.4,91,91,7.67,overcast clouds
643,Ibirama,BR,-27.06,-49.52,68.83,43,0,3.02,clear sky
644,Deputatskiy,RU,69.3,139.9,46.92,73,100,0.18,overcast clouds
645,Bowen,AU,-20.02,148.23,64.4,82,90,4.61,overcast clouds
646,Fereydunshahr,IR,32.94,50.12,64.49,17,0,5.21,clear sky
647,Yuncheng,CN,35.02,110.99,75.16,80,82,5.66,light rain
648,Bull Savanna,JM,17.89,-77.59,84.24,63,71,16.42,broken clouds
649,Pangai,TO,-19.8,-174.35,73.51,60,20,19.57,few clouds
650,Ermelo,ZA,-26.53,29.98,48.36,46,1,1.3,clear sky
651,Vinh,VN,18.67,105.67,76.66,94,100,14.81,very heavy rain
652,Usman,RU,52.05,39.73,59.04,88,69,4.41,broken clouds
653,Chipinge,ZW,-20.19,32.62,53.1,60,0,0.96,clear sky
654,Eenhana,NA,-17.47,16.33,64.15,24,8,6.69,clear sky
655,Fukue,JP,32.69,128.84,71.24,94,69,4.41,broken clouds
656,Timra,SE,62.49,17.33,62.6,45,75,16.11,broken clouds
657,Zhigansk,RU,66.77,123.37,47.41,49,22,11.99,few clouds
658,Wajima,JP,37.4,136.9,67.53,81,100,4.92,overcast clouds
659,Zahnitkiv,UA,48.04,28.9,66.04,73,72,2.86,broken clouds
660,Pedernales,DO,18.04,-71.74,86.86,60,14,5.01,few clouds
661,Rozkishne,UA,48.51,39.3,63.88,87,49,8.08,scattered clouds
662,Lososina,RU,49.0,140.31,46.42,98,100,8.3,heavy intensity rain
663,Cap Malheureux,MU,-19.98,57.61,75.69,65,68,5.99,broken clouds
664,Brae,GB,60.4,-1.35,51.71,76,59,14.7,broken clouds
665,Mayo,US,38.89,-76.51,77.27,73,90,5.99,overcast clouds
666,Lugovoy,KZ,42.95,72.76,64.24,47,97,4.36,overcast clouds
667,Zhangjiakou,CN,40.81,114.88,69.82,62,70,2.19,broken clouds
668,Plouzane,FR,48.38,-4.62,66.2,68,0,11.5,clear sky
669,Bonthe,SL,7.53,-12.51,83.35,69,93,6.42,overcast clouds
670,Jablonec,SK,48.33,17.45,71.6,73,0,2.3,clear sky
671,Yablochnyy,RU,47.17,142.07,55.4,100,75,8.95,moderate rain
672,Beauchamps,FR,50.01,1.52,70.63,76,45,5.19,scattered clouds
673,Ghindaresti,RO,44.65,28.03,61.57,80,89,8.1,overcast clouds
674,Svarstad,NO,59.4,9.97,66.0,41,5,12.3,clear sky
675,Lagoa,PT,39.05,-27.98,67.68,76,0,1.81,clear sky
676,Koboko,UG,3.41,30.96,65.89,84,99,5.61,overcast clouds
677,Luorong,CN,24.41,109.61,78.06,89,75,2.28,broken clouds
678,Olesno,PL,50.88,18.42,63.66,95,100,17.34,moderate rain
679,Kampot,KH,10.62,104.18,78.8,94,40,7.0,scattered clouds
680,Bilma,NE,18.69,12.92,101.73,10,4,9.84,clear sky
681,Destin,US,30.39,-86.5,93.52,79,20,4.61,few clouds
682,Ayan,RU,56.45,138.17,44.89,70,96,3.6,overcast clouds
683,Gujar Khan,PK,33.26,73.3,90.0,53,1,1.99,clear sky
684,Gerash,IR,27.67,54.14,95.14,11,0,7.7,clear sky
685,Huarmey,PE,-10.07,-78.15,71.64,71,27,10.96,scattered clouds
686,Sesheke,ZM,-17.48,24.3,59.29,34,4,4.36,clear sky
687,Yeniseysk,RU,58.45,92.17,45.59,87,11,2.39,few clouds
688,Komsomolskiy,UZ,40.43,71.72,78.15,38,100,9.22,overcast clouds
689,Ko Samui,TH,9.54,99.94,84.2,72,94,20.98,overcast clouds
690,Krasnoshchekovo,RU,51.67,82.73,49.64,97,98,4.76,moderate rain
691,Murray Bridge,AU,-35.12,139.27,53.56,78,100,4.68,overcast clouds
692,Tocopilla,CL,-22.09,-70.2,65.66,69,16,1.19,few clouds
693,Inhambane,MZ,-23.86,35.38,66.18,88,20,0.0,few clouds
694,Potenza,IT,40.64,15.81,67.82,73,64,3.0,broken clouds
695,Porto Novo,BJ,6.5,2.6,82.4,78,40,8.05,scattered clouds
696,Nova Olinda Do Norte,BR,-3.89,-59.09,90.86,47,53,2.73,broken clouds
697,Elblag,PL,54.15,19.41,62.94,76,97,14.43,overcast clouds
698,Yuryevets,RU,57.32,43.1,60.35,91,80,7.9,heavy intensity rain
699,Mabaruma,GY,8.2,-59.78,84.2,79,40,13.8,scattered clouds
700,Vanavara,RU,60.34,102.28,45.43,64,29,6.82,scattered clouds
701,Hatillo,PR,18.49,-66.83,88.39,77,84,12.35,broken clouds
702,Iquitos,PE,-3.75,-73.25,77.0,94,90,5.75,overcast clouds
703,Pangnirtung,CA,66.15,-65.71,37.4,87,75,13.8,broken clouds
704,Luau,AO,-10.71,22.22,63.54,31,2,4.94,clear sky
705,Hokitika,NZ,-42.72,170.97,54.9,89,100,5.61,overcast clouds
706,Biak,ID,-0.91,122.88,75.4,88,71,2.39,light rain
707,Igrim,RU,63.19,64.42,67.73,40,100,3.62,overcast clouds
708,Bosaso,SO,11.28,49.18,95.22,40,67,11.72,broken clouds
709,Newport,GB,51.59,-3.0,73.44,71,42,5.39,scattered clouds
710,Nishihara,JP,26.18,127.76,80.65,94,40,6.91,scattered clouds
711,Akdepe,TM,42.06,59.38,82.49,24,0,12.95,clear sky
712,Pangoa,PE,-12.12,-73.0,67.32,88,100,0.54,overcast clouds
713,Elko,US,41.0,-115.5,76.64,14,30,5.99,scattered clouds
714,Sao Felix Do Xingu,BR,-6.64,-51.99,92.61,33,89,3.02,overcast clouds
715,Luancheng,CN,37.88,114.65,75.36,51,34,1.79,scattered clouds
716,Glubczyce,PL,50.2,17.83,67.86,85,100,14.12,overcast clouds
