,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Cicevac,RS,43.72,21.44,70.54,83,45,4.61,scattered clouds
84,Tasiilaq,GL,65.61,-37.64,39.36,99,100,4.85,light rain
85,Mango,US,27.98,-82.31,94.23,66,40,3.0,scattered clouds
86,Samarinda,ID,-0.5,117.15,74.41,98,83,1.74,broken clouds
87,Port Alfred,ZA,-33.59,26.89,64.65,71,100,5.41,overcast clouds
88,Honiara,SB,-9.43,159.95,76.86,88,9,4.05,clear sky
89,Prince Rupert,CA,54.32,-130.32,57.29,74,90,2.3,light rain
90,Palmer,US,42.16,-72.33,76.62,54,75,1.99,broken clouds
91,Kodiak,US,57.79,-152.41,56.71,51,1,12.66,clear sky
92,Coquimbo,CL,-29.95,-71.34,56.93,76,90,6.91,overcast clouds
93,Fuling,CN,29.7,107.39,75.72,90,61,3.36,broken clouds
94,Uige,AO,-7.61,15.06,73.35,36,32,3.67,scattered clouds
95,Hasaki,JP,35.73,140.83,70.09,85,89,11.97,overcast clouds
96,Cape Town,ZA,-33.93,18.42,61.11,83,0,1.99,clear sky
97,Ordzhonikidze,KZ,52.44,61.74,63.32,38,86,10.85,overcast clouds
98,Whitehorse,CA,60.72,-135.05,52.57,81,75,3.44,light rain
99,Balkanabat,TM,39.51,54.37,80.71,46,0,9.08,clear sky
100,Santa Catarina De Tepehuanes,MX,25.35,-105.73,84.67,14,32,14.2,scattered clouds
101,Carutapera,BR,-1.2,-46.02,80.01,76,93,7.11,overcast clouds
102,Santa Maria,BR,-29.68,-53.81,63.68,58,8,5.64,clear sky
103,Sept-Iles,CA,50.2,-66.38,65.05,32,75,11.01,broken clouds
104,Vaini,TO,-21.2,-175.2,71.76,78,75,10.36,broken clouds
105,Luderitz,NA,-26.65,15.16,58.57,86,100,8.23,overcast clouds
106,Norman Wells,CA,65.28,-126.83,51.84,87,90,5.75,moderate rain
107,Gat,IL,31.61,34.76,79.81,45,1,10.96,clear sky
108,Naples Park,US,26.26,-81.81,93.02,70,20,1.01,few clouds
109,Touros,BR,-5.2,-35.46,85.1,63,19,17.98,few clouds
110,Puerto Ayora,EC,-0.74,-90.35,82.36,83,79,8.99,broken clouds
111,Greenwood,US,34.17,-82.12,93.47,42,22,3.53,light rain
112,Methana,GR,37.58,23.39,74.55,66,73,0.51,broken clouds
113,Upington,ZA,-28.45,21.26,62.98,42,0,4.61,clear sky
114,Tawau,MY,4.25,117.89,78.93,86,28,4.45,light rain
115,Muisne,EC,0.6,-80.03,82.51,81,93,10.65,overcast clouds
116,Guarapari,BR,-20.67,-40.5,69.69,84,98,12.93,overcast clouds
117,Ostrov,RU,57.34,28.35,68.0,60,40,6.71,light rain
118,Dalbandin,PK,28.89,64.41,96.84,3,0,10.4,clear sky
119,Lompoc,US,34.64,-120.46,89.1,57,1,13.8,clear sky
120,Goderich,CA,43.75,-81.72,78.21,73,54,8.05,broken clouds
121,Baoqing,CN,46.33,132.21,60.91,86,37,1.99,scattered clouds
122,Bengkulu,ID,-3.8,102.27,75.85,91,81,4.32,moderate rain
123,Haines Junction,CA,60.75,-137.51,65.35,32,64,4.52,broken clouds
124,Vardo,NO,70.37,31.11,55.94,69,56,5.53,broken clouds
125,Angoche,MZ,-16.23,39.91,71.19,71,47,10.51,scattered clouds
126,Fuzhou,CN,26.06,119.31,80.6,89,20,4.47,few clouds
127,Yellowknife,CA,62.46,-114.35,48.72,100,90,10.36,overcast clouds
128,Mount Gambier,AU,-37.83,140.77,47.53,93,100,4.18,overcast clouds
129,Faanui,PF,-16.48,-151.75,80.11,78,37,13.42,scattered clouds
130,Oda,JP,35.18,132.5,68.14,96,100,5.12,moderate rain
131,Hithadhoo,MV,-0.6,73.08,82.65,75,48,9.31,scattered clouds
132,Beidao,CN,34.57,105.89,64.85,78,94,3.13,overcast clouds
133,Bredasdorp,ZA,-34.53,20.04,60.12,88,41,3.44,scattered clouds
134,Aklavik,CA,68.22,-135.01,59.72,71,75,8.05,broken clouds
135,Devils Lake,US,48.11,-98.87,77.11,31,1,11.99,clear sky
136,Banda Aceh,ID,5.56,95.32,80.69,76,97,10.71,overcast clouds
137,Ribeira Grande,PT,38.52,-28.7,72.0,78,75,5.75,broken clouds
138,Alofi,NU,-19.06,-169.92,73.29,68,97,14.97,overcast clouds
139,Houma,US,29.6,-90.72,91.99,60,40,10.36,scattered clouds
140,Latung,PH,5.5,120.88,83.35,76,55,11.05,broken clouds
141,Karpathos,GR,35.51,27.21,71.56,88,0,20.71,clear sky
142,Severo-Kurilsk,RU,50.68,156.12,48.04,84,100,3.65,overcast clouds
143,Tiznit,MA,29.58,-9.5,73.2,39,3,8.32,clear sky
144,Onguday,RU,50.75,86.15,45.72,95,97,2.75,overcast clouds
145,East London,ZA,-33.02,27.91,58.14,72,0,5.75,clear sky
146,Usevya,TZ,-7.1,31.23,68.7,59,0,4.25,clear sky
147,Kerouane,GN,9.27,-9.02,77.49,82,87,8.63,moderate rain
148,Manali,IN,13.17,80.27,85.06,79,100,14.27,overcast clouds
149,Keetmanshoop,NA,-26.58,18.13,67.12,26,98,8.05,overcast clouds
150,Yar-Sale,RU,66.83,70.83,57.99,71,76,4.56,broken clouds
151,Poum,NC,-20.23,164.02,74.14,77,62,12.77,broken clouds
152,Vao,NC,-22.67,167.48,73.06,73,99,12.06,overcast clouds
153,Ninotsminda,GE,41.26,43.59,52.25,92,83,2.37,broken clouds
154,Roald,NO,62.58,6.13,51.01,76,75,12.66,broken clouds
155,Pimentel,PE,-6.84,-79.93,71.89,68,90,11.5,overcast clouds
156,Kavieng,PG,-2.57,150.8,81.97,75,1,12.68,clear sky
157,Hope,US,33.67,-93.59,89.65,62,39,5.46,scattered clouds
158,Torbay,CA,47.67,-52.73,57.97,76,75,21.85,broken clouds
159,Pangkalanbuun,ID,-2.68,111.62,74.07,98,100,1.99,overcast clouds
160,Qaanaaq,GL,77.48,-69.36,36.61,79,91,4.34,overcast clouds
161,Miyako,JP,39.64,141.95,63.73,87,72,3.83,broken clouds
162,Agadir,MA,30.42,-9.6,73.85,50,13,8.19,few clouds
163,Sinnamary,GF,5.38,-52.95,79.0,84,71,6.2,light rain
164,Xining,CN,36.62,101.77,59.81,70,87,2.64,overcast clouds
165,Madimba,TZ,-10.4,40.33,73.04,75,24,10.51,few clouds
166,Menongue,AO,-14.66,17.69,57.9,32,4,4.94,clear sky
167,Port Hedland,AU,-20.32,118.57,71.65,88,90,3.44,overcast clouds
168,Avarua,CK,-21.21,-159.78,73.45,64,75,5.75,light rain
169,Narsaq,GL,60.92,-46.05,55.62,65,36,9.62,scattered clouds
170,Venado Tuerto,AR,-33.75,-61.97,75.78,42,0,14.58,clear sky
171,Sao Joao Da Barra,BR,-21.64,-41.05,75.29,72,100,13.42,overcast clouds
