City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2021-06-11 10:59:44,62.456,-114.3525,52.32,100,90,9.22
68,Dawlatabad,AF,2021-06-11 11:04:07,36.4141,64.9053,105.53,9,0,17.96
69,Stornoway,GB,2021-06-11 11:04:07,58.2093,-6.3865,56.93,67,75,16.11
70,Ancud,CL,2021-06-11 11:04:08,-41.8697,-73.8203,56.43,96,100,19.06
71,Wagar,SD,2021-06-11 11:04:08,16.1525,36.2032,103.69,19,11,6.17
72,Vitim,RU,2021-06-11 11:04:08,59.4511,112.5578,54.82,67,100,3.51
73,Hithadhoo,MV,2021-06-11 11:04:09,-0.6,73.0833,83.98,73,98,12.21
74,Padang,ID,2021-06-11 11:04:09,-0.9492,100.3543,84.25,78,62,2.59
75,Kulhudhuffushi,MV,2021-06-11 11:04:09,6.6221,73.07,83.26,75,100,16.31
76,Andenes,NO,2021-06-11 11:03:09,69.3143,16.1194,58.98,82,75,14.97
77,Alihe,CN,2021-06-11 11:04:10,50.5667,123.7167,65.03,62,50,2.26
78,Kyabe,TD,2021-06-11 11:04:10,9.4515,18.9449,100.69,26,93,5.03
79,Lompoc,US,2021-06-11 11:04:10,34.6391,-120.4579,60.13,100,1,11.5
80,Toyooka,JP,2021-06-11 11:04:11,35.5333,134.8333,69.73,75,100,6.58
81,Nisia Floresta,BR,2021-06-11 11:04:11,-6.0911,-35.2086,79.61,70,93,11.95
82,Camacha,PT,2021-06-11 11:04:11,33.0833,-16.3333,75.96,68,20,13.8
83,Batagay-Alyta,RU,2021-06-11 11:04:11,67.8006,130.4114,61.99,38,85,9.22
84,Kununurra,AU,2021-06-11 11:04:12,-15.7667,128.7333,62.58,55,90,1.14
85,Chapleau,CA,2021-06-11 11:00:14,47.8405,-83.4034,50.5,99,100,7.52
86,Husavik,IS,2021-06-11 11:04:12,66.0449,-17.3389,38.68,97,100,18.66
87,Punta Arenas,CL,2021-06-11 11:02:02,-53.15,-70.9167,39.13,90,96,5.57
88,Constitucion,CL,2021-06-11 11:04:13,-35.3333,-72.4167,50.65,70,41,6.29
89,Nome,US,2021-06-11 11:01:57,64.5011,-165.4064,40.15,94,99,3.62
90,Souris,CA,2021-06-11 11:04:13,49.6172,-100.2612,61.74,97,100,9.01
91,Tasiilaq,GL,2021-06-11 11:04:13,65.6145,-37.6368,41.16,95,100,2.37
92,Kilgore,US,2021-06-11 11:04:14,32.3863,-94.8758,78.46,88,90,9.22
93,Puri,IN,2021-06-11 11:04:14,19.8,85.85,90.12,71,98,9.73
94,Plettenberg Bay,ZA,2021-06-11 11:04:14,-34.0527,23.3716,76.14,40,6,2.86
95,Ikwiriri,TZ,2021-06-11 11:04:15,-7.9562,38.9716,85.5,43,27,10.16
96,Provideniya,RU,2021-06-11 11:04:15,64.3833,-173.3,40.73,90,100,5.28
97,Najran,SA,2021-06-11 11:04:15,17.4924,44.1277,98.85,7,100,15.39
98,Sao Felix Do Xingu,BR,2021-06-11 11:03:59,-6.6447,-51.995,72.88,75,15,1.59
99,Mehamn,NO,2021-06-11 11:04:16,71.0357,27.8492,67.95,52,0,13.8
100,Soe,ID,2021-06-11 11:04:16,-9.8607,124.284,66.61,90,94,4.7
101,Rawson,AR,2021-06-11 11:04:16,-43.3002,-65.1023,51.37,59,90,17.29
102,Glinka,RU,2021-06-11 11:04:17,54.6404,32.8781,56.97,95,100,6.24
103,Port Elizabeth,ZA,2021-06-11 11:04:17,-33.918,25.5701,82.09,35,1,6.62
104,Cherskiy,RU,2021-06-11 11:04:17,68.75,161.3,37.35,70,54,11.43
105,Matara,LK,2021-06-11 11:04:17,5.9485,80.5353,83.35,74,99,11.99
106,Mar Del Plata,AR,2021-06-11 11:01:50,-38.0023,-57.5575,46.09,41,65,7.0
107,Griffith,US,2021-06-11 11:04:18,41.5284,-87.4237,71.89,93,1,0.0
108,Benguela,AO,2021-06-11 11:04:18,-12.5763,13.4055,87.4,41,29,7.16
109,Batagay,RU,2021-06-11 11:04:19,67.6333,134.6333,61.09,48,32,6.24
110,Lebu,CL,2021-06-11 11:04:19,-37.6167,-73.65,52.25,78,94,3.18
111,Kargil,IN,2021-06-11 11:04:19,34.5667,76.1,64.15,23,1,8.28
112,Wanlaweyn,SO,2021-06-11 11:04:20,2.6185,44.8938,87.46,42,85,21.99
113,Fortuna,US,2021-06-11 11:04:20,40.5982,-124.1573,56.35,62,90,1.01
114,Przasnysz,PL,2021-06-11 11:04:20,53.0191,20.8803,74.68,50,64,6.55
115,Carutapera,BR,2021-06-11 11:04:21,-1.195,-46.02,72.36,96,100,6.44
116,Bluff,NZ,2021-06-11 11:04:21,-46.6,168.3333,43.99,80,35,5.55
117,Celestun,MX,2021-06-11 11:04:21,20.8667,-90.4,78.21,80,100,9.1
118,Pisco,PE,2021-06-11 11:04:22,-13.7,-76.2167,64.45,77,90,3.44
119,Thayetmyo,MM,2021-06-11 11:04:22,19.3167,95.1833,76.89,95,100,8.52
120,Hermanus,ZA,2021-06-11 11:04:22,-34.4187,19.2345,75.9,52,15,3.94
121,Sarakhs,IR,2021-06-11 11:02:10,36.5449,61.1577,108.27,8,0,14.52
122,Ratnagiri,IN,2021-06-11 11:04:23,16.9833,73.3,84.11,79,69,15.23
123,Kerema,PG,2021-06-11 11:04:23,-7.9631,145.7785,79.83,88,33,3.83
124,Andreapol,RU,2021-06-11 11:04:23,56.6513,32.2664,53.24,95,100,6.6
125,Qaanaaq,GL,2021-06-11 11:04:24,77.484,-69.3632,36.84,68,90,7.78
126,Fuxin,CN,2021-06-11 11:04:24,42.0156,121.6589,78.37,61,28,7.74
127,Sinop,TR,2021-06-11 11:04:24,41.7711,34.8709,64.83,58,27,9.08
128,Glenwood Springs,US,2021-06-11 11:04:24,39.5505,-107.3248,51.6,71,0,2.8
129,Kapaa,US,2021-06-11 11:04:25,22.0752,-159.319,75.52,74,90,1.99
130,Chakrata,IN,2021-06-11 11:04:25,30.7,77.85,78.64,41,81,4.94
131,Kasongo-Lunda,CD,2021-06-11 11:04:26,-6.4667,16.8167,94.84,25,63,4.09
132,Tilichiki,RU,2021-06-11 11:04:26,60.4667,166.1,44.26,80,98,1.52
133,Semnan,IR,2021-06-11 11:04:26,35.5729,53.3971,98.78,8,0,12.24
134,Vostok,RU,2021-06-11 11:04:27,46.4856,135.8833,57.34,96,100,4.72
135,Ponta Do Sol,PT,2021-06-11 11:04:27,32.6667,-17.1,79.43,37,0,4.16
136,Ramgarh,IN,2021-06-11 11:04:27,23.6333,85.5167,91.45,56,85,8.37
137,Roma,US,2021-06-11 11:04:28,43.2128,-75.4557,64.94,68,1,5.75
138,Tutoia,BR,2021-06-11 11:04:28,-2.7619,-42.2744,77.22,88,100,4.09
139,Arlit,NE,2021-06-11 11:04:28,18.7369,7.3853,106.74,7,1,3.69
140,Airai,TL,2021-06-11 11:04:28,-8.9266,125.4092,59.99,93,96,3.09
141,Finschhafen,PG,2021-06-11 11:04:29,-6.6024,147.8681,79.68,81,17,6.53
