City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,Port Blair,IN,82.87,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Dzaoudzi,YT,76.89,broken clouds,-12.79,45.27,Le Rocher
236,Lakatoro,VU,75.56,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
239,Marshall,US,89.38,light rain,34.38,-86.33,Lake Guntersville Bed and Breakfast
240,Beyneu,KZ,81.01,overcast clouds,45.32,55.2,NUR
242,Ukiah,US,81.36,clear sky,39.15,-123.21,Hampton Inn Ukiah
244,Seabra,BR,80.33,overcast clouds,-12.42,-41.77,Cambuí Hotel
248,Aureliana,PH,78.48,moderate rain,10.89,121.98,"Aureliana, patnongon, antique"
249,Sola,VU,79.65,overcast clouds,-13.88,167.55,Ulkel Guest House
250,Turan,VN,80.58,broken clouds,16.07,108.22,Sun River Hotel
252,Grand-Bourg,GP,88.65,broken clouds,15.88,-61.31,Coco Beach Resort
259,Sterling,US,76.46,overcast clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
269,Kaptanganj,IN,83.17,broken clouds,26.93,83.72,IMC
270,Victoria,HK,82.38,light rain,22.29,114.16,Mini Hotel Central
275,Piojo,CO,82.76,broken clouds,10.75,-75.11,Reserva Natural Los Charcones - Lomita el paso del conejo
276,Pemba,MZ,75.9,few clouds,-12.97,40.52,Guesthouse Samotina
278,Kalamazoo,US,87.85,clear sky,42.25,-85.55,Four Points by Sheraton Kalamazoo
279,Nouakchott,MR,80.53,broken clouds,18.09,-15.98,HOTEL IMAN فندق إيمان
282,Aktau,KZ,77.0,clear sky,43.65,51.2,Silk Way Hotel
290,Padang,ID,77.68,moderate rain,-0.95,100.35,Mercure Padang
293,Belmonte,BR,82.4,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
294,Nouadhibou,MR,78.78,overcast clouds,20.93,-17.03,El Medina
297,Kuching,MY,79.02,few clouds,1.55,110.33,Hilton Kuching
307,Malkangiri,IN,78.03,overcast clouds,18.35,81.9,Girls' Hostel
309,Tautira,PF,75.22,broken clouds,-17.73,-149.15,Pension Oaoa
313,Hirara,JP,83.14,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
314,Poncitlan,MX,83.12,scattered clouds,20.37,-102.92,Hotel Plaza Poncitlan
319,Pontianak,ID,78.78,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
322,Hibbing,US,75.2,scattered clouds,47.43,-92.94,Mitchell-Tappan House
324,Libreville,GA,80.62,few clouds,0.39,9.45,Hotel Re-Ndama
328,Hami,CN,75.99,light rain,42.8,93.45,Laoyutang Resort
336,Mogadishu,SO,78.19,overcast clouds,2.04,45.34,Hotel Juba
337,Boa Vista,BR,89.58,broken clouds,2.82,-60.67,Aipana Plaza Hotel
340,Porto Walter,BR,76.95,overcast clouds,-8.27,-72.74,Hotel Silva
343,Zhanaozen,KZ,84.33,few clouds,43.3,52.8,K.korabay 28A
348,Ambon,ID,78.8,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
349,Labuan,MY,77.11,moderate rain,5.28,115.24,Tiara Labuan Hotel
352,Oriximina,BR,85.3,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
353,Santa Cruz,BO,77.05,clear sky,-17.8,-63.17,Aviador Hotel Boutique
360,Makakilo City,US,77.32,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
362,Omboue,GA,77.77,overcast clouds,-1.57,9.26,Hotel Olako
370,Laguna,US,84.99,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
